date,season,club,opponent,competition,competitionType,venue,minute,addedTimeMinute,scoreAfterGoal,teamResult,goalType,bodyPart,penalty,freeKick,assist,assistType,sourceId,sourceUrl,sourceName,sourcePublishedAt,verified,verificationNotes,matchId
2019-05-12,2018/19,FC Red Bull Salzburg,LASK,Austrian Bundesliga,League,Home,13,,1-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-lask-2019-05-12
2019-07-19,2019/20,FC Red Bull Salzburg,SC/ESV Parndorf,ÖFB Cup,Domestic Cup,Away,35,,0-2,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-parndorf-2019-07-19
2019-07-19,2019/20,FC Red Bull Salzburg,SC/ESV Parndorf,ÖFB Cup,Domestic Cup,Away,73,,1-6,W,Open Play,,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-parndorf-2019-07-19
2019-07-19,2019/20,FC Red Bull Salzburg,SC/ESV Parndorf,ÖFB Cup,Domestic Cup,Away,90,,1-7,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-parndorf-2019-07-19
2019-08-04,2019/20,FC Red Bull Salzburg,SV Mattersburg,Austrian Bundesliga,League,Home,37,,3-0,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-mattersburg-2019-08-04
2019-08-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Home,22,,1-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-08-10
2019-08-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Home,65,,3-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-08-10
2019-08-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Home,89,,4-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-08-10
2019-08-17,2019/20,FC Red Bull Salzburg,SKN St. Pölten,Austrian Bundesliga,League,Away,30,,0-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-st-polten-2019-08-17
2019-08-17,2019/20,FC Red Bull Salzburg,SKN St. Pölten,Austrian Bundesliga,League,Away,49,,0-3,W,Header,Head,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-st-polten-2019-08-17
2019-08-25,2019/20,FC Red Bull Salzburg,Admira Wacker,Austrian Bundesliga,League,Home,28,,3-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-admira-2019-08-25
2019-08-31,2019/20,FC Red Bull Salzburg,WSG Tirol,Austrian Bundesliga,League,Away,41,,0-3,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wsg-2019-08-31
2019-09-14,2019/20,FC Red Bull Salzburg,TSV Hartberg,Austrian Bundesliga,League,Home,52,,4-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-hartberg-2019-09-14
2019-09-14,2019/20,FC Red Bull Salzburg,TSV Hartberg,Austrian Bundesliga,League,Home,86,,5-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-hartberg-2019-09-14
2019-09-14,2019/20,FC Red Bull Salzburg,TSV Hartberg,Austrian Bundesliga,League,Home,90,,7-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-hartberg-2019-09-14
2019-09-17,2019/20,FC Red Bull Salzburg,Genk,UEFA Champions League,Continental,Home,2,,1-0,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-genk-2019-09-17
2019-09-17,2019/20,FC Red Bull Salzburg,Genk,UEFA Champions League,Continental,Home,34,,2-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-genk-2019-09-17
2019-09-17,2019/20,FC Red Bull Salzburg,Genk,UEFA Champions League,Continental,Home,45,,4-1,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-genk-2019-09-17
2019-10-02,2019/20,FC Red Bull Salzburg,Liverpool,UEFA Champions League,Continental,Away,60,,3-3,L,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-liverpool-2019-10-02
2019-10-23,2019/20,FC Red Bull Salzburg,Napoli,UEFA Champions League,Continental,Home,40,,1-1,L,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-napoli-2019-10-23
2019-10-23,2019/20,FC Red Bull Salzburg,Napoli,UEFA Champions League,Continental,Home,72,,2-2,L,Header,Head,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-napoli-2019-10-23
2019-10-27,2019/20,FC Red Bull Salzburg,Rapid Vienna,Austrian Bundesliga,League,Home,38,,2-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-rapid-2019-10-27
2019-10-30,2019/20,FC Red Bull Salzburg,Ebreichsdorf,ÖFB Cup,Domestic Cup,Away,87,,0-5,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-ebreichsdorf-2019-10-30
2019-11-05,2019/20,FC Red Bull Salzburg,Napoli,UEFA Champions League,Continental,Away,11,,0-1,D,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-napoli-2019-11-05
2019-11-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Away,4,,0-1,W,Other,,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-11-10
2019-11-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Away,76,,0-2,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-11-10
2019-11-10,2019/20,FC Red Bull Salzburg,Wolfsberger AC,Austrian Bundesliga,League,Away,88,,0-3,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wolfsberger-2019-11-10
2019-11-27,2019/20,FC Red Bull Salzburg,Genk,UEFA Champions League,Continental,Away,87,,1-4,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-genk-2019-11-27
2019-12-07,2019/20,FC Red Bull Salzburg,WSG Tirol,Austrian Bundesliga,League,Home,9,,2-0,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,salzburg-wsg-2019-12-07
